store_id,store_type,square_footage,market,completion_date,total_cost,cost_per_sqft,construction,electrical,hvac,plumbing,fixtures,technology,soft_costs,timeline_days,variance_from_budget
Store-91,suburban_standard,3500,Cincinnati,2024-11-22,566598,161.89,198309,67991,45327,28329,141649,45327,39661,70,7
Store-92,suburban_standard,3500,Louisville,2024-09-18,632162,180.62,221256,75859,50572,31608,158040,50572,44251,110,3
Store-93,suburban_standard,3500,Indianapolis,2024-10-24,727597,207.88,254658,87311,58207,36379,181899,58207,50931,82,-2
Store-94,suburban_standard,3500,Columbus,2024-05-10,656591,187.6,229806,78790,52527,32829,164147,52527,45961,87,-5
Store-95,suburban_standard,3500,Louisville,2024-12-18,698036,199.44,244312,83764,55842,34901,174509,55842,48862,110,-1
Store-96,suburban_standard,3500,Pittsburgh,2024-07-07,622362,177.82,217826,74683,49788,31118,155590,49788,43565,66,5
Store-97,suburban_standard,3500,Detroit,2024-06-27,588163,168.05,205857,70579,47053,29408,147040,47053,41171,112,-4
Store-98,suburban_standard,3500,Detroit,2024-01-12,619605,177.03,216861,74352,49568,30980,154901,49568,43372,86,-4
Store-99,suburban_standard,3500,Cincinnati,2024-10-06,628847,179.67,220096,75461,50307,31442,157211,50307,44019,74,2
Store-100,suburban_standard,3500,Indianapolis,2024-03-23,578671,165.33,202534,69440,46293,28933,144667,46293,40506,85,6
Store-101,suburban_standard,3500,Cincinnati,2024-09-12,663263,189.5,232142,79591,53061,33163,165815,53061,46428,89,-4
Store-102,suburban_standard,3500,Louisville,2024-06-06,579157,165.47,202704,69498,46332,28957,144789,46332,40540,95,0
Store-103,suburban_standard,3500,Indianapolis,2024-12-23,740555,211.59,259194,88866,59244,37027,185138,59244,51838,107,1
Store-104,suburban_standard,3500,Detroit,2024-04-24,736847,210.53,257896,88421,58947,36842,184211,58947,51579,109,2
Store-105,suburban_standard,3500,Cleveland,2024-10-26,720945,205.98,252330,86513,57675,36047,180236,57675,50466,66,-5
Store-106,suburban_standard,3500,Indianapolis,2024-01-18,688425,196.69,240948,82611,55074,34421,172106,55074,48189,120,10
Store-107,suburban_standard,3500,Louisville,2024-12-22,598254,170.93,209388,71790,47860,29912,149563,47860,41877,87,10
Store-108,suburban_standard,3500,Detroit,2024-02-22,575728,164.49,201504,69087,46058,28786,143932,46058,40300,84,3
Store-109,suburban_standard,3500,Indianapolis,2024-08-18,604684,172.77,211639,72562,48374,30234,151171,48374,42327,63,-2
Store-110,suburban_standard,3500,Indianapolis,2024-10-08,731855,209.1,256149,87822,58548,36592,182963,58548,51229,86,10
Store-111,suburban_standard,3500,Cincinnati,2024-06-16,711052,203.16,248868,85326,56884,35552,177763,56884,49773,72,7
Store-112,suburban_standard,3500,Pittsburgh,2024-10-20,643857,183.96,225349,77262,51508,32192,160964,51508,45069,79,9
Store-113,suburban_standard,3500,Detroit,2024-12-09,556310,158.95,194708,66757,44504,27815,139077,44504,38941,61,10
Store-114,suburban_standard,3500,Columbus,2024-06-22,597176,170.62,209011,71661,47774,29858,149294,47774,41802,75,-4
Store-115,suburban_standard,3500,Cincinnati,2024-02-18,724404,206.97,253541,86928,57952,36220,181101,57952,50708,67,5
Store-116,suburban_standard,3500,Louisville,2024-09-24,709923,202.84,248473,85190,56793,35496,177480,56793,49694,79,-5
Store-117,suburban_standard,3500,Cincinnati,2024-04-13,597015,170.58,208955,71641,47761,29850,149253,47761,41791,113,0
Store-118,suburban_standard,3500,Cincinnati,2024-05-04,688483,196.71,240969,82617,55078,34424,172120,55078,48193,104,6
Store-119,suburban_standard,3500,Cincinnati,2024-12-26,730311,208.66,255608,87637,58424,36515,182577,58424,51121,119,8
Store-120,suburban_standard,3500,Cincinnati,2024-11-24,650401,185.83,227640,78048,52032,32520,162600,52032,45528,97,9
Store-121,suburban_standard,3500,Louisville,2024-07-21,567333,162.1,198566,68079,45386,28366,141833,45386,39713,118,0
Store-122,suburban_standard,3500,Louisville,2024-05-03,649446,185.56,227306,77933,51955,32472,162361,51955,45461,106,6
Store-123,suburban_standard,3500,Columbus,2024-07-09,560546,160.16,196191,67265,44843,28027,140136,44843,39238,66,-4
Store-124,suburban_standard,3500,Louisville,2024-01-06,737006,210.57,257952,88440,58960,36850,184251,58960,51590,120,-4
Store-125,suburban_standard,3500,Cincinnati,2024-10-10,725211,207.2,253823,87025,58016,36260,181302,58016,50764,96,0
Store-126,suburban_standard,3500,Louisville,2024-10-15,661598,189.03,231559,79391,52927,33079,165399,52927,46311,75,0
Store-127,suburban_standard,3500,Louisville,2024-10-19,559033,159.72,195661,67083,44722,27951,139758,44722,39132,112,-2
Store-128,suburban_standard,3500,Cincinnati,2024-07-17,732976,209.42,256541,87957,58638,36648,183244,58638,51308,83,-1
Store-129,suburban_standard,3500,Detroit,2024-09-09,664224,189.78,232478,79706,53137,33211,166056,53137,46495,62,7
Store-130,urban_flagship,5000,Cleveland,2024-12-22,1433455,286.69,501709,172014,114676,71672,358363,114676,100341,111,9
Store-131,urban_flagship,5000,Detroit,2024-09-03,1346098,269.22,471134,161531,107687,67304,336524,107687,94226,85,4
Store-132,urban_flagship,5000,Indianapolis,2024-01-06,1387563,277.51,485647,166507,111005,69378,346890,111005,97129,117,-4
Store-133,urban_flagship,5000,Indianapolis,2024-06-25,1422363,284.47,497827,170683,113789,71118,355590,113789,99565,99,5
Store-134,urban_flagship,5000,Cincinnati,2024-12-18,1418210,283.64,496373,170185,113456,70910,354552,113456,99274,118,-1
Store-135,urban_flagship,5000,Pittsburgh,2024-11-19,1497476,299.5,524116,179697,119798,74873,374369,119798,104823,77,10
Store-136,urban_flagship,5000,Louisville,2024-01-14,1457368,291.47,510078,174884,116589,72868,364342,116589,102015,91,1
Store-137,urban_flagship,5000,Indianapolis,2024-06-07,1242186,248.44,434765,149062,99374,62109,310546,99374,86953,74,10
Store-138,urban_flagship,5000,Indianapolis,2024-12-10,1293944,258.79,452880,155273,103515,64697,323486,103515,90576,73,3
Store-139,urban_flagship,5000,Pittsburgh,2024-10-18,1211895,242.38,424163,145427,96951,60594,302973,96951,84832,98,4
Store-140,urban_flagship,5000,Columbus,2024-01-09,1541105,308.22,539386,184932,123288,77055,385276,123288,107877,61,-4
Store-141,urban_flagship,5000,Columbus,2024-10-26,1432404,286.48,501341,171888,114592,71620,358101,114592,100268,90,0
Store-142,urban_flagship,5000,Pittsburgh,2024-11-16,1460306,292.06,511107,175236,116824,73015,365076,116824,102221,70,10
Store-143,urban_flagship,5000,Detroit,2024-01-01,1598723,319.74,559553,191846,127897,79936,399680,127897,111910,74,-1
Store-144,urban_flagship,5000,Indianapolis,2024-02-28,1402884,280.58,491009,168346,112230,70144,350721,112230,98201,106,0
Store-145,urban_flagship,5000,Detroit,2024-07-17,1583378,316.68,554182,190005,126670,79168,395844,126670,110836,60,9
Store-146,urban_flagship,5000,Louisville,2024-06-25,1268250,253.65,443887,152190,101460,63412,317062,101460,88777,111,-3
Store-147,urban_flagship,5000,Cincinnati,2024-07-15,1469990,294.0,514496,176398,117599,73499,367497,117599,102899,99,9
Store-148,urban_flagship,5000,Pittsburgh,2024-01-28,1383746,276.75,484311,166049,110699,69187,345936,110699,96862,103,7
Store-149,urban_flagship,5000,Cleveland,2024-07-05,1241648,248.33,434576,148997,99331,62082,310412,99331,86915,68,-4
Store-150,express_compact,2000,Indianapolis,2024-04-08,318171,159.09,111359,38180,25453,15908,79542,25453,22271,79,10
Store-151,express_compact,2000,Detroit,2024-12-21,307971,153.99,107789,36956,24637,15398,76992,24637,21557,106,1
Store-152,express_compact,2000,Indianapolis,2024-11-05,331555,165.78,116044,39786,26524,16577,82888,26524,23208,84,1
Store-153,express_compact,2000,Columbus,2024-01-09,332922,166.46,116522,39950,26633,16646,83230,26633,23304,105,8
Store-154,express_compact,2000,Detroit,2024-07-16,264173,132.09,92460,31700,21133,13208,66043,21133,18492,113,1
Store-155,express_compact,2000,Louisville,2024-05-22,297037,148.52,103962,35644,23762,14851,74259,23762,20792,109,8
Store-156,express_compact,2000,Pittsburgh,2024-04-25,288936,144.47,101127,34672,23114,14446,72234,23114,20225,82,-1
Store-157,express_compact,2000,Cincinnati,2024-03-01,299712,149.86,104899,35965,23976,14985,74928,23976,20979,61,6
Store-158,express_compact,2000,Cincinnati,2024-02-02,306029,153.01,107110,36723,24482,15301,76507,24482,21422,86,5
Store-159,express_compact,2000,Pittsburgh,2024-08-08,280823,140.41,98288,33698,22465,14041,70205,22465,19657,93,1
Store-160,express_compact,2000,Cleveland,2024-07-06,257160,128.58,90006,30859,20572,12858,64290,20572,18001,118,6
Store-161,express_compact,2000,Louisville,2024-03-08,291584,145.79,102054,34990,23326,14579,72896,23326,20410,119,10
Store-162,express_compact,2000,Pittsburgh,2024-04-17,251172,125.59,87910,30140,20093,12558,62793,20093,17582,72,8
Store-163,express_compact,2000,Indianapolis,2024-10-06,293603,146.8,102761,35232,23488,14680,73400,23488,20552,91,4
Store-164,express_compact,2000,Cleveland,2024-05-15,254794,127.4,89177,30575,20383,12739,63698,20383,17835,91,7
Store-165,express_compact,2000,Pittsburgh,2024-07-03,247963,123.98,86787,29755,19837,12398,61990,19837,17357,91,2
Store-166,express_compact,2000,Louisville,2024-07-14,262048,131.02,91716,31445,20963,13102,65512,20963,18343,60,5
Store-167,express_compact,2000,Columbus,2024-06-14,266408,133.2,93242,31968,21312,13320,66602,21312,18648,80,-3
Store-168,express_compact,2000,Louisville,2024-06-13,311363,155.68,108977,37363,24909,15568,77840,24909,21795,71,2
Store-169,express_compact,2000,Louisville,2024-03-18,268730,134.37,94055,32247,21498,13436,67182,21498,18811,92,-2
Store-170,express_compact,2000,Detroit,2024-10-11,315003,157.5,110251,37800,25200,15750,78750,25200,22050,80,-3
Store-171,express_compact,2000,Louisville,2024-07-14,314495,157.25,110073,37739,25159,15724,78623,25159,22014,67,9
Store-172,express_compact,2000,Cincinnati,2024-05-28,277169,138.58,97009,33260,22173,13858,69292,22173,19401,82,-4
Store-173,express_compact,2000,Pittsburgh,2024-12-28,274699,137.35,96144,32963,21975,13734,68674,21975,19228,92,6
Store-174,express_compact,2000,Indianapolis,2024-01-16,316456,158.23,110759,37974,25316,15822,79114,25316,22151,83,-3
Store-175,express_compact,2000,Columbus,2024-12-19,285124,142.56,99793,34214,22809,14256,71281,22809,19958,104,1
Store-176,express_compact,2000,Detroit,2024-04-25,249083,124.54,87179,29889,19926,12454,62270,19926,17435,67,7
Store-177,express_compact,2000,Indianapolis,2024-07-19,330702,165.35,115745,39684,26456,16535,82675,26456,23149,72,7
Store-178,express_compact,2000,Louisville,2024-08-21,329030,164.51,115160,39483,26322,16451,82257,26322,23032,75,5
Store-179,express_compact,2000,Cincinnati,2024-02-27,324930,162.47,113725,38991,25994,16246,81232,25994,22745,64,-4
Store-180,remodel_refresh,3500,Pittsburgh,2024-01-20,297012,84.86,103954,35641,23760,14850,74253,23760,20790,76,-2
Store-181,remodel_refresh,3500,Columbus,2024-01-11,340573,97.31,119200,40868,27245,17028,85143,27245,23840,119,5
Store-182,remodel_refresh,3500,Cincinnati,2024-04-11,327718,93.63,114701,39326,26217,16385,81929,26217,22940,82,4
Store-183,remodel_refresh,3500,Pittsburgh,2024-01-12,293392,83.83,102687,35207,23471,14669,73348,23471,20537,79,2
Store-184,remodel_refresh,3500,Cincinnati,2024-12-23,310147,88.61,108551,37217,24811,15507,77536,24811,21710,80,5
Store-185,remodel_refresh,3500,Detroit,2024-02-05,372422,106.41,130347,44690,29793,18621,93105,29793,26069,69,4
Store-186,remodel_refresh,3500,Indianapolis,2024-09-25,316769,90.51,110869,38012,25341,15838,79192,25341,22173,88,-2
Store-187,remodel_refresh,3500,Indianapolis,2024-10-05,317660,90.76,111181,38119,25412,15883,79415,25412,22236,97,-5
Store-188,remodel_refresh,3500,Detroit,2024-04-09,361393,103.26,126487,43367,28911,18069,90348,28911,25297,118,-5
Store-189,remodel_refresh,3500,Pittsburgh,2024-05-05,330847,94.53,115796,39701,26467,16542,82711,26467,23159,96,-2
Store-190,remodel_refresh,3500,Detroit,2024-06-12,290065,82.88,101522,34807,23205,14503,72516,23205,20304,73,2
Store-191,remodel_refresh,3500,Detroit,2024-09-28,358352,102.39,125423,43002,28668,17917,89588,28668,25084,119,-1
Store-192,remodel_refresh,3500,Cleveland,2024-02-15,319865,91.39,111952,38383,25589,15993,79966,25589,22390,79,8
Store-193,remodel_refresh,3500,Detroit,2024-03-10,338663,96.76,118532,40639,27093,16933,84665,27093,23706,95,3
Store-194,remodel_refresh,3500,Columbus,2024-10-05,363910,103.97,127368,43669,29112,18195,90977,29112,25473,82,7
Store-195,remodel_refresh,3500,Columbus,2024-11-07,342027,97.72,119709,41043,27362,17101,85506,27362,23941,117,1
Store-196,remodel_refresh,3500,Pittsburgh,2024-11-23,347402,99.26,121590,41688,27792,17370,86850,27792,24318,61,1
Store-197,remodel_refresh,3500,Cincinnati,2024-03-01,336477,96.14,117766,40377,26918,16823,84119,26918,23553,104,1
Store-198,remodel_refresh,3500,Pittsburgh,2024-08-04,287909,82.26,100768,34549,23032,14395,71977,23032,20153,102,10
Store-199,remodel_refresh,3500,Indianapolis,2024-05-22,316963,90.56,110937,38035,25357,15848,79240,25357,22187,105,4
Store-200,remodel_refresh,3500,Cincinnati,2024-12-23,287174,82.05,100510,34460,22973,14358,71793,22973,20102,61,-1
Store-201,remodel_refresh,3500,Cleveland,2024-07-01,289318,82.66,101261,34718,23145,14465,72329,23145,20252,109,4
Store-202,remodel_refresh,3500,Pittsburgh,2024-08-14,358822,102.52,125587,43058,28705,17941,89705,28705,25117,115,1
Store-203,remodel_refresh,3500,Detroit,2024-08-20,291678,83.34,102087,35001,23334,14583,72919,23334,20417,119,1
Store-204,remodel_refresh,3500,Columbus,2024-10-07,322216,92.06,112775,38665,25777,16110,80554,25777,22555,68,8
Store-205,prototype_innovation,4000,Pittsburgh,2024-02-18,1274422,318.61,446047,152930,101953,63721,318605,101953,89209,114,10
Store-206,prototype_innovation,4000,Cleveland,2024-12-08,1108372,277.09,387930,133004,88669,55418,277093,88669,77586,113,-1
Store-207,prototype_innovation,4000,Pittsburgh,2024-10-28,1302330,325.58,455815,156279,104186,65116,325582,104186,91163,120,2
Store-208,prototype_innovation,4000,Detroit,2024-04-02,1213834,303.46,424841,145660,97106,60691,303458,97106,84968,96,3
Store-209,prototype_innovation,4000,Columbus,2024-03-19,1322244,330.56,462785,158669,105779,66112,330561,105779,92557,78,-3
